Squadron,Last Name,First Name,Rank,AFCS,Supervisor,Date Enter Service,Date of Birth,EPR Score,Commander,OPR Pass/Fail,SSN 
100 MOS,Gould,Penelopeÿ,O9,2AFT1A,The Dude,1/10/2004,7/18/1986,0,0,1,541864094
100 MOS,Hooper,Joeyÿ,O9,2AFT1A,The Dude,1/11/2004,7/19/1986,0,1,1,501025775
100 MOS,Vaughan,Jacintoÿ,O8,2AFT1A,The Dude,1/12/2004,7/20/1986,0,0,1,525282757
100 MOS,Rasmussen,Trishaÿ,O7,2AFT1A,The Dude,1/13/2004,7/21/1986,0,0,1,112549377
100 MOS,Fisher,Marissaÿ,O6,2AFT1A,The Dude,1/14/2004,7/22/1986,0,0,1,680405892
100 MOS,Moore,Rickyÿ,O5,2AFT1A,The Dude,1/15/2004,7/23/1986,0,0,1,429210719
100 MOS,Walton,Mandy ,O4,2AFT1A,The Dude,1/16/2004,7/24/1986,0,0,1,143709990
100 MOS,Richard,Geraldÿ,O3,2AFT1A,The Dude,1/17/2004,7/25/1986,0,0,1,435697304
100 MOS,Newton,Jayÿ,O2,2AFT1A,The Dude,1/18/2004,7/26/1986,0,0,1,142366121
100 MOS,Zavala,Juliana ,O1,2AFT1A,The Dude,1/19/2004,7/27/1986,0,0,1,696017514
100 MOS,Townsend,Andreasÿ,E9,2AF5x1,The Dude,1/20/2004,7/28/1986,5,0,0,475478935
100 MOS,Turner,Jorge,E8,2AF5x1,The Dude,1/21/2004,7/29/1986,4,0,0,438967973
100 MOS,Riggs,Candaceÿ,E7,2AF5x1,The Dude,1/22/2004,7/30/1986,3,0,0,116841255
100 MOS,Curtis,Sueÿ,E6,2AF5x1,The Dude,1/23/2004,7/31/1986,2,0,0,119248324
100 MOS,Greene,Darinÿ,E5,2AF5x1,The Dude,1/24/2004,8/1/1986,1,0,0,528220637
100 MOS,Boone,Aronÿ,E4,2AF5x1,The Dude,1/25/2004,8/2/1986,5,0,0,146128244
100 MOS,Salas,Carissaÿ,E3,2AF5x1,The Dude,1/26/2004,8/3/1986,4,0,0,518575199
100 MOS,Palmer,Marilynÿ,E2,2AF5x1,The Dude,1/27/2004,8/4/1986,3,0,0,579346685
100 MOS,Fox,Kimberleyÿ,E1,2AF5x1,The Dude,1/28/2004,8/5/1986,2,0,0,651628011
100 MOS,Diaz,Leannaÿ,E1,2AF5x1,The Dude,1/29/2004,8/6/1986,1,0,0,337924048
100 MOS,Patel,Nathanÿ,E2,2AF5x1,The Dude,1/30/2004,8/7/1986,5,0,0,301581743
100 MXS,Meadows,Randellÿ,E3,2AF5x1,The Dude,1/31/2004,8/8/1986,4,0,0,657324462
100 MXS,Glass,Jacquelynÿ,E4,2AF5x1,The Dude,2/1/2004,8/9/1986,3,0,0,577289580
100 MXS,Oneill,Inezÿ,E5,2AF5x1,The Dude,2/2/2004,8/10/1986,2,0,0,174019046
100 MXS,Meyers,Claudeÿ,E6,2AF5x1,The Dude,2/3/2004,8/11/1986,1,0,0,501785225
100 MXS,Johnston,Dionne ,E7,2AF5x1,The Dude,2/4/2004,8/12/1986,5,0,0,504521703
100 MXS,Castro,Kellyÿ,E8,2AF5x1,The Dude,2/5/2004,8/13/1986,4,0,0,751109245
100 MXS,Pena,Merleÿ,E9,2AF5x1,The Dude,2/6/2004,8/14/1986,3,0,0,317031066
100 MXS,Roach,Dawnÿ,O1,2AFT1A,The Dude,2/7/2004,8/15/1986,0,0,0,501078671
100 MXS,Lozano,Lincoln,O2,2AFT1A,The Dude,2/8/2004,8/16/1986,0,0,0,214140412
100 MXS,Reed,Gayleÿ,O3,2AFT1A,The Dude,2/9/2004,8/17/1986,0,0,0,446271392
100 MXS,Thompson,Glennaÿ,O4,2AFT1A,The Dude,2/10/2004,8/18/1986,0,0,0,500047123
100 MXS,Roberson,Antwanÿ,O5,2AFT1A,The Dude,2/11/2004,8/19/1986,0,0,0,505205850
100 MXS,Skinner,Aureliaÿ,O6,2AFT1A,The Dude,2/12/2004,8/20/1986,0,0,0,233028687
100 MXS,Avery,Lynetteÿ,O7,2AFT1A,The Dude,2/13/2004,8/21/1986,0,0,0,403114118
100 MXS,Buck,Monaÿ,O8,2AFT1A,The Dude,2/14/2004,8/22/1986,0,0,0,236477113
100 MXS,Bender,Martinÿ,O9,2AFT1A,The Dude,2/15/2004,8/23/1986,0,0,0,222587274
100 MXS,Love,Donteÿ,O9,2AFT1A,The Dude,2/16/2004,8/24/1986,0,1,0,697074685
100 MXS,Mata,Mattieÿ,O8,2AFT1A,The Dude,2/17/2004,8/25/1986,0,0,0,450059366
100 MXS,Beard,Anitaÿ,O7,2AFT1A,The Dude,2/18/2004,8/26/1986,0,0,0,427680835
